Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Other,2020-06-21 20:58:17,false,Table Tennis,0,543,00:58:24,162,188,5,7,154,--,--,--,--,0,0,0,--,--,--,--,0,0,0,58:24,0:00,27,0:00,No,58:24.49,1,0
Running,2020-05-23 17:06:36,false,West Coast,2.3,159,00:14:33,186,199,4.2,152,158,6:19,5:38,8,7,1.05,0,0,--,--,--,--,0,0,0,14:33,0:00,31,0:00,No,01:51.97,3,0
Running,2020-05-08 00:10:51,false,Singapore Run,2.01,132,00:13:31,172,192,3.1,146,152,6:44,6:01,7,8,1.01,0,0,--,--,--,--,0,0,0,13:31,0:00,31,0:00,No,00:02.81,3,0
Running,2020-05-03 23:49:22,false,West Coast,4.01,277,00:26:24,178,194,4.4,147,154,6:35,5:33,13,15,1.03,0,0,--,--,--,--,0,0,0,26:24,0:00,31,0:00,No,00:01.84,5,0
Running,2020-05-02 00:14:19,false,West Coast,3.25,222,00:21:01,177,196,4,150,160,6:28,5:50,13,12,1.03,0,0,--,--,--,--,0,0,0,21:01,0:00,29,0:00,No,01:33.13,4,0
Running,2020-04-27 23:43:44,false,West Coast,2.7,188,00:17:35,176,194,3.7,150,156,6:30,6:01,9,11,1.03,0,0,--,--,--,--,0,0,0,17:35,0:00,29,0:00,No,04:33.82,3,0
Running,2020-04-13 23:48:31,false,West Coast,4.01,258,00:27:58,157,174,3,149,154,6:59,5:55,10,8,0.96,0,0,--,--,--,--,0,0,0,27:58,0:00,29,0:00,No,00:02.22,5,0
Running,2020-04-11 23:02:43,false,West Coast,3.01,174,00:19:21,152,182,2.7,154,160,6:26,5:39,10,6,1.01,0,0,--,--,--,--,0,0,0,19:21,0:00,29,0:00,No,00:02.37,4,0
Running,2020-04-09 23:07:02,false,West Coast,7.01,501,00:48:51,165,180,4.1,148,160,6:58,5:44,20,21,0.96,0,0,--,--,--,--,0,0,0,48:51,0:00,29,0:00,No,00:01.89,8,0
Running,2020-04-05 23:20:23,false,West Coast,4.51,301,00:26:41,175,197,4.2,154,164,5:55,4:56,7,9,1.1,0,0,--,--,--,--,0,0,0,26:41,0:00,29,0:00,No,02:45.61,5,0
Running,2020-04-01 23:18:29,false,Kent Ridge,3.75,256,00:22:17,174,201,4,153,168,5:56,4:59,24,26,1.1,0,0,--,--,--,--,0,0,0,22:17,0:00,29,0:00,No,04:05.69,4,0
Other,2020-03-30 21:10:35,false,Table Tennis,0,365,00:50:02,128,173,3.6,7,163,--,--,--,--,0,0,0,--,--,--,--,0,0,0,50:02,0:00,26,0:00,No,00:00.00,1,0
Running,2020-03-29 22:41:09,false,West Coast,5.21,368,00:32:42,173,199,4.5,151,164,6:17,4:46,10,10,1.05,0,0,--,--,--,--,0,0,0,32:42,0:00,30,0:00,No,01:09.92,6,0
Running,2020-03-27 23:08:46,false,West Coast,3.01,210,00:16:21,179,201,3.8,155,164,5:26,4:58,6,6,1.18,0,0,--,--,--,--,0,0,0,16:21,0:00,28,0:00,No,00:02.23,4,0
Other,2020-03-23 19:34:38,false,Table Tennis,0,898,02:23:47,134,182,4.3,7,158,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:23:47,0:00,25,0:00,No,00:00.00,1,0
Other,2020-03-04 20:01:20,false,Table Tennis,0,900,01:46:57,156,186,4.7,7,160,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:46:57,0:00,28,0:00,No,00:00.00,1,0
Other,2020-02-29 19:56:33,false,Table Tennis,0,787,01:45:32,144,175,3.7,7,154,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:45:32,0:00,26,0:00,No,00:00.00,1,0
Other,2020-02-23 19:19:18,false,Table Tennis,0,839,02:18:12,135,171,3.5,7,226,--,--,--,--,0,0,0,--,--,--,--,0,0,0,2:18:12,0:00,26,0:00,No,00:00.00,1,0
Other,2020-02-16 19:44:57,false,Table Tennis,0,731,01:33:52,146,170,3.3,7,210,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:33:52,0:00,24,0:00,No,00:00.00,1,0
Running,2020-02-15 22:08:50,false,Bishan-Ang Mo Kio Park,5.51,319,00:32:57,167,182,3.6,156,162,5:59,5:21,9,13,1.08,0,0,--,--,--,--,0,0,0,32:57,0:00,29,0:00,No,03:03.54,6,0
Treadmill Running,2020-02-12 07:18:27,false,Treadmill,4.26,261,00:23:29,180,193,--,160,168,5:31,4:59,--,--,0,0,0,--,--,--,--,0,0,0,23:29,0:00,0,0:00,No,02:36.00,5,0
Other,2020-02-09 19:33:24,false,Table Tennis,0,727,01:38:51,141,176,3.2,10,163,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:38:51,0:00,27,0:00,No,00:00.00,1,0
